Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (11491543),Rudy Gobert,11491543,C/UTIL,7500,MEM@UTA 10/22/2018 09:00PM ET,UTA,42.25
SG/SF,DeMar DeRozan (11491545),DeMar DeRozan,11491545,SG/SF/F/G/UTIL,7400,SA@LAL 10/22/2018 10:30PM ET,SA,43.12
C,Enes Kanter (11491550) (LOCKED),Enes Kanter,11491550,C/UTIL,7300,In Progress,NY,43.5
SG/SF,Khris Middleton (11491552) (LOCKED),Khris Middleton,11491552,SG/SF/F/G/UTIL,7200,In Progress,MIL,39.88
SG/SF,Tim Hardaway Jr. (11491561) (LOCKED),Tim Hardaway Jr.,11491561,SG/SF/F/G/UTIL,7100,In Progress,NY,41.58
PG/SG,Zach LaVine (11491557) (LOCKED),Zach LaVine,11491557,PG/SG/G/UTIL,7100,In Progress,CHI,43
SG,Bradley Beal (11491566),Bradley Beal,11491566,SG/G/UTIL,7000,WAS@POR 10/22/2018 10:00PM ET,WAS,39
PG,Kyrie Irving (11491569) (LOCKED),Kyrie Irving,11491569,PG/G/UTIL,7000,In Progress,BOS,28.75
PF/C,Draymond Green (11491572),Draymond Green,11491572,PF/C/F/UTIL,6900,PHO@GS 10/22/2018 10:30PM ET,GS,27.92
C,Deandre Ayton (11491579),Deandre Ayton,11491579,C/UTIL,6800,PHO@GS 10/22/2018 10:30PM ET,PHO,30.25
PG,Luka Doncic (11491576) (LOCKED),Luka Doncic,11491576,PG/G/UTIL,6800,In Progress,DAL,33.5
PG/SG,Eric Bledsoe (11491581) (LOCKED),Eric Bledsoe,11491581,PG/SG/G/UTIL,6700,In Progress,MIL,34
PG,Mike Conley (11491585),Mike Conley,11491585,PG/G/UTIL,6600,MEM@UTA 10/22/2018 09:00PM ET,MEM,30.25
PF/C,Bobby Portis (11491588) (LOCKED),Bobby Portis,11491588,PF/C/F/UTIL,6600,In Progress,CHI,37.88
PG/SG,CJ McCollum (11491607),CJ McCollum,11491607,PG/SG/G/UTIL,6500,WAS@POR 10/22/2018 10:00PM ET,POR,29.88
PG,Dennis Smith Jr. (11491595) (LOCKED),Dennis Smith Jr.,11491595,PG/G/UTIL,6500,In Progress,DAL,30.38
PG,Rajon Rondo (11491592),Rajon Rondo,11491592,PG/G/UTIL,6400,SA@LAL 10/22/2018 10:30PM ET,LAL,39.38
SG/SF,Joe Ingles (11491598),Joe Ingles,11491598,SG/SF/F/G/UTIL,6400,MEM@UTA 10/22/2018 09:00PM ET,UTA,43.38
C,Marc Gasol (11491611),Marc Gasol,11491611,C/UTIL,6400,MEM@UTA 10/22/2018 09:00PM ET,MEM,30.38
PG/SG,Kris Dunn (11491603) (LOCKED),Kris Dunn,11491603,PG/SG/G/UTIL,6300,In Progress,CHI,0
